game_id,name_en,release_year,player_min,player_max,player_best,playing_time,playing_time_min,playing_time_max,age_min,image_url,thumbnail_url
7866,"10 Days in the USA",2003,2,4,3,30,30,30,10,https://cf.geekdo-images.com/RYv5O8PWn5NiCFwAfCMlbw__original/img/H5J1XXYwmFZCGu9XU7gf8iGMGTY=/0x0/filters:format(jpeg)/pic4306793.jpg,https://cf.geekdo-images.com/RYv5O8PWn5NiCFwAfCMlbw__thumb/img/S5XU3x8yP_tadDdF0PsCUxrMyc0=/fit-in/200x150/filters:strip_icc()/pic4306793.jpg
217335,"111 Ants",2017,2,5,4,20,20,20,8,https://cf.geekdo-images.com/K-ajmJxa7L5TvlWW3iu7sQ__original/img/xdZjuYL1t9D_jlGeULuedm2eSzw=/0x0/filters:format(jpeg)/pic5491162.jpg,https://cf.geekdo-images.com/K-ajmJxa7L5TvlWW3iu7sQ__thumb/img/TQKFrFk62UI-nrWZZ4v2Ppj-Qs0=/fit-in/200x150/filters:strip_icc()/pic5491162.jpg
170430,"12 Days of Christmas",2015,3,8,4,30,20,30,8,https://cf.geekdo-images.com/zBFDI7xX11hwsvwGSt3b-g__original/img/7P5IeJdLDzS4tM2491SadseQ4Ng=/0x0/filters:format(jpeg)/pic2341647.jpg,https://cf.geekdo-images.com/zBFDI7xX11hwsvwGSt3b-g__thumb/img/i-iofG0ONMgWlkikLLLC8ze4aSk=/fit-in/200x150/filters:strip_icc()/pic2341647.jpg
257955,"3x8",2018,2,4,3,0,30,0,8,https://cf.geekdo-images.com/1uZ1GPCLOOwp_xuqaCw_GA__original/img/ISVJIsaPalt7Jz1KdE2xq4eS1c4=/0x0/filters:format(jpeg)/pic4254246.jpg,https://cf.geekdo-images.com/1uZ1GPCLOOwp_xuqaCw_GA__thumb/img/Kc3_1dF-zHaGDCFuhnzX335yTqg=/fit-in/200x150/filters:strip_icc()/pic4254246.jpg
207830,"5-Minute Dungeon",2017,2,5,4,30,5,30,8,https://cf.geekdo-images.com/fQOVD0Sc0FXZRZPdNc7VwA__original/img/3EudyVKrsduyX9lXonCYs2SKh1c=/0x0/filters:format(jpeg)/pic3370214.jpg,https://cf.geekdo-images.com/fQOVD0Sc0FXZRZPdNc7VwA__thumb/img/5uDnvcjI-Bd6WbfA-9BLtKqC1-s=/fit-in/200x150/filters:strip_icc()/pic3370214.jpg
271512,"5211",2019,2,5,3,30,20,30,8,https://cf.geekdo-images.com/fm2SAoNjPi34jLFEJ9BXfA__original/img/u8ELFpVAPJYF0Hceett8Tv2J9cQ=/0x0/filters:format(png)/pic4560166.png,https://cf.geekdo-images.com/fm2SAoNjPi34jLFEJ9BXfA__thumb/img/wpTkSUdq1h96at87h5P5CJ_sC7E=/fit-in/200x150/filters:strip_icc()/pic4560166.png
432,"6 nimmt!",1994,2,10,5,45,45,45,8,https://cf.geekdo-images.com/JFhLVSRFQ2mtWRNHgbZ3Wg__original/img/9fIiXGmstIfL7rLvn9pNXM1Bw6Q=/0x0/filters:format(jpeg)/pic2602138.jpg,https://cf.geekdo-images.com/JFhLVSRFQ2mtWRNHgbZ3Wg__thumb/img/jqJgikalfbCRPAMpjq4bWH0sj08=/fit-in/200x150/filters:strip_icc()/pic2602138.jpg
68448,"7 Wonders",2010,2,7,4,30,30,30,10,https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__original/img/JQvRoz0xns9LZII74-ygKGDq_Es=/0x0/filters:format(jpeg)/pic860217.jpg,https://cf.geekdo-images.com/RvFVTEpnbb4NM7k0IF8V7A__thumb/img/ZlG_SRFChObHenw79fAve56_mnk=/fit-in/200x150/filters:strip_icc()/pic860217.jpg
173346,"7 Wonders Duel",2015,2,2,2,30,30,30,10,https://cf.geekdo-images.com/WzNs1mA_o22ZWTR8fkLP2g__original/img/q_TrwF4VnXgW1dFQgtMJexSXOEA=/0x0/filters:format(jpeg)/pic3376065.jpg,https://cf.geekdo-images.com/WzNs1mA_o22ZWTR8fkLP2g__thumb/img/qGf8-LJx4lsNOgpjS6iCs2TyKts=/fit-in/200x150/filters:strip_icc()/pic3376065.jpg
309116,"7 Wonders Duel: Agora",2020,2,2,2,30,30,30,10,https://cf.geekdo-images.com/WJuYXVjj7j8gYPz0ptXm3w__original/img/lbMoTzYmZ8UkM18gY7zq2-6WES0=/0x0/filters:format(jpeg)/pic5692719.jpg,https://cf.geekdo-images.com/WJuYXVjj7j8gYPz0ptXm3w__thumb/img/p0rTFzy54iLEOEDIxzjFeCYYpE4=/fit-in/200x150/filters:strip_icc()/pic5692719.jpg
