game_id,name_jp,expansion,description_en,description_jp
7866,10 DAYS IN THE USA,,"You have 10 Days in the USA. Travel the country by jet, car, and on foot. Plan your trip from start to finish using destination and transportation tiles. With a little luck and clever planning, you just might outwit your fellow travelers.&#10;&#10;This is the first installment in the 10 Days in series.&#10;                       &#10;There are 50 state tiles, 10 colored airplane tiles, and 6 car tiles. Players all flip tiles one at a time, examine them, and put them in the 10 &quot;days&quot; of their tile tray, in any order. Then in turn, they draw a tile from one of three face-up piles or a face-down pile. The new tile may replace one tile in their tray, with that tile (or the unused drawn tile) discarded onto any of the face-up piles. Alternatively, players may swap any two tiles in their tray. When a player has all their days connected correctly, they win the game.&#10;&#10;Travel Connections:&#10;By Foot - bordering state tiles may be placed side-by-side&#10;By Automobile - states may be connected by driving through a third state which borders them both (the car tile is put between them)&#10;By Air - Two states of the same color may be connected by a same-color airplane placed between them&quot;&#10;&#10;",あなたはアメリカに10日あります。ジェット機、車、徒歩で国を旅しましょう。目的地と交通機関のタイルを使用して、最初から最後まで旅行を計画します。少しの運と巧妙な計画で、あなたはあなたの仲間の旅行者を裏切るかもしれません。<br><br>これは、シリーズの10日間の最初の分割払いです。<br>                       <br>50の州のタイル、10の色付きの飛行機のタイル、および6つの車のタイルがあります。プレイヤーは全員、タイルを一度に1つずつ裏返し、調べて、タイルトレイの10「日」に任意の順序で置きます。次に、3つの表向きの山または裏向きの山の1つからタイルを描きます。新しいタイルは、トレイ内の1つのタイルを置き換え、そのタイル（または未使用の描画されたタイル）を表向きの山のいずれかに破棄することができます。または、プレーヤーはトレイ内の任意の2つのタイルを交換することもできます。プレーヤーがすべての日を正しく接続すると、ゲームに勝ちます。<br><br>旅行の接続：<br>足で-隣接する状態のタイルを並べて配置できます<br>自動車による-州は、両方に隣接する3番目の州を運転することによって接続できます（車のタイルはそれらの間に置かれます）<br>飛行機で-同じ色の2つの状態は、それらの間に配置された同じ色の飛行機で接続できます。」<br><br>
217335,ラミー１１１,,"The description of gameplay in 111 Ants &mdash; first released as MyRummy 111 &mdash; requires only one sentence: Take a hand of unsorted cards, draw either a face-down or face-up card on your turn and put it in the right place, then place another card to the left or right of it. Your goal is to be the first to sort your cards in ascending or descending order, which is both easy and challenging since the cards have different qualities. Unfortunately, valuable cards rarely sit in the right place...&#10;&#10;",ラミー111のゲームプレイの説明- MyRummy111として最初にリリースされました-必要な文は1つだけです。分類されていないカードを手札に取り、あなたのターンに裏向きまたは表向きのカードを1枚引いて正しい場所に置き、次に別のカードをその左または右に置きます。あなたの目標は、カードを昇順または降順で最初に並べ替えることです。これは、カードの品質が異なるため、簡単でやりがいのあることです。残念ながら、貴重なカードが適切な場所に配置されることはめったにありません...<br><br>
170430,クリスマスの12日,,"12 Days of Christmas is a card game designed by Dr. Gord Hamilton for 3-8 players.&#10;&#10;To play, deal out twelve cards to each player; the deck consists of 78 cards: one 1, two 2s, and so on up to twelve 12s. By following the lead established by the first player, each player attempts to give away all of her cards before the other players can. The first player can lead a single card, a set of at least two cards of the same value, or a straight of at least two cards. The next players either pass or play a similar combination of cards (although not necessarily the same number of cards) that includes at least one card that's as low or lower than the lead player's low card. Whoever has played the lowest card once everyone has passed becomes the new lead player.&#10;&#10;Whoever runs out of cards first claims one of the available gift cards; whoever has the most cards left in hand must give a gift card to this round's winner! Whoever has the most gifts when the gifts run out wins.&#10;&#10;",クリスマスの12日は、ゴードハミルトン博士が3〜8人用にデザインしたカードゲームです。<br><br>プレイするには、各プレイヤーに12枚のカードを配ります。デッキは78枚のカードで構成されています。1枚、2枚、2枚など、最大12枚の12枚です。最初のプレーヤーによって確立されたリードに従うことによって、各プレーヤーは他のプレーヤーができる前にすべてのカードを配ろうとします。最初のプレーヤーは、1枚のカード、同じ値の少なくとも2枚のカードのセット、または少なくとも2枚のカードのストレートをリードできます。次のプレーヤーは、リードプレーヤーのローカードと同じかそれよりも低いカードを少なくとも1枚含む、同様のカードの組み合わせ（必ずしも同じ数のカードである必要はありません）をパスまたはプレイします。全員が合格した後、最も低いカードをプレイした人が新しいリードプレーヤーになります。<br><br>カードが足りなくなった人は、最初に利用可能なギフトカードの1つを請求します。手札のカードが最も多い人は、このラウンドの勝者にギフトカードを渡さなければなりません。贈り物がなくなったときに最も多くの贈り物を持っている人が勝ちます。<br><br>
257955,,,"In 3x8, each player tries to create three rows of cards with eight cards in each row. Take turns going clockwise, playing cards from your hands &mdash; ideally more than one at a time. Move cards into different rows, make life difficult for the other players with your blocker cards, and increase the number of cards in your hands to offer up more opportunities later. The first player to create their third complete row wins!&#10;&#10;",3x8では、各プレーヤーは3列のカードを作成しようとします。各列には8枚のカードがあります。時計回りに順番に進み、手からトランプを取ります。理想的には一度に複数。カードを別の列に移動し、ブロッカーカードを持っている他のプレイヤーの生活を困難にし、手札のカードの数を増やして、後でより多くの機会を提供します。 3番目の完全な行を作成した最初のプレーヤーが勝ちます！<br><br>
207830,５ミニッツダンジョン,,"5-&shy;Minute Dungeon is a chaotic, co-&shy;operative, real-&shy;time card game in which players have only five minutes to escape the randomized dungeon. Communication and teamwork are critical to survival because there's no time to form a carefully considered plan &mdash; and no predicting what dangers lie ahead.&#10;&#10;In more detail, players assume the role of one of ten heroes, each with special cards and abilities. Once the five-minute timer starts, the race is on to defeat all the monsters inside the dungeon. In order to defeat a monster, players must match symbols from their hand with ones on the monster's card. At the end of each dungeon is a powerful dungeon boss &mdash; and after the first boss is defeated, the campaign continues to the second boss. Each boss, and each randomized dungeon, gets harder until players reach the fifth and final boss.&#10;&#10;",5-&shy; Minute Dungeonは、混沌とした、協力的な、リアルタイムの&shy;タイムカードゲームで、ランダム化されたダンジョンから5分で脱出できます。慎重に検討された計画を立てる時間がないため、コミュニケーションとチームワークは生き残るために不可欠です。そして、どのような危険が待ち受けているかを予測することはできません。<br><br>より詳細には、プレイヤーはそれぞれが特別なカードと能力を持つ10人のヒーローのうちの1人の役割を引き受けます。 5分間のタイマーが開始されると、ダンジョン内のすべてのモンスターを倒すためのレースが始まります。モンスターを倒すには、プレイヤーは自分の手札のシンボルとモンスターのカードのシンボルを一致させる必要があります。各ダンジョンの終わりには、強力なダンジョンボスがいます。そして、最初のボスが敗北した後、キャンペーンは2番目のボスに続きます。各ボス、および各ランダム化されたダンジョンは、プレイヤーが5番目の最後のボスに到達するまで難しくなります。<br><br>
271512,,,"5211 is a fast-playing card game with a unique scoring method that rewards clever play!&#10;&#10;This game has cards 1-6 in five colors. Each player starts with a hand of five cards. Players play two cards face-down, then simultaneously reveal them. They refill their hand, then repeat this process two more times, but only with one card.&#10;&#10;The cards of the majority color will score &mdash; unless too many are present, in which case the color busts and the second most color scores. In case of a tie for majority, the tied colors are also out. These rounds are repeated until the deck runs out. The player with the most points wins.&#10;&#10;5211 is a new edition of 5 COLORS that has all new art.&#10;&#10;",5211は、巧妙なプレイに報いる独自のスコアリング方法を備えた高速トランプゲームです。<br><br>このゲームには5色のカード1〜6があります。各プレイヤーは5枚のカードの手から始めます。プレイヤーは2枚のカードを裏向きにプレイし、同時にそれらを公開します。彼らは手を補充し、このプロセスをさらに2回繰り返しますが、カードは1枚だけです。<br><br>過半数の色のカードが得点します-あまりにも多く存在しない限り、その場合、カラーバストと2番目に多いカラースコア。過半数のネクタイの場合、ネクタイの色も出ています。これらのラウンドは、デッキがなくなるまで繰り返されます。ポイントが最も多いプレイヤーが勝ちます。<br><br>5211は、すべて新しいアートを備えた5COLORSの新版です。<br><br>
432,ニムト,,"In 6 nimmt!, a.k.a. Category 5 and many other names, you want to score as few points as possible.&#10;&#10;To play the game, you shuffle the 104 number cards, lay out four cards face-up to start the four rows, then deal ten cards to each player. Each turn, players simultaneously choose and reveal a card from their hand, then add the cards to the rows, with cards being placed in ascending order based on their number; specifically, each card is placed in the row that ends with the highest number that's below the card's number. When the sixth card is placed in a row, the owner of that card claims the other five cards and the sixth card becomes the first card in a new row.&#10;&#10;In addition to a number from 1 to 104, each card has a point value. After finishing ten rounds, players tally their score and see whether the game ends. (Category 5 ends when a player has a score greater than 74, for example, while 6 nimmt! ends when someone tops 66.) When this happens, the player with the fewest points wins!&#10;&#10;6 nimmt! works with 2-10 players, and the dynamics of gameplay change the more players that you have. One variant for the game has you use 34 cards, 44 cards, 54 cards, etc. (instead of all 104 cards) when you have three, four, five, etc. number of players. This change allows you to know which cards are in play, thereby allowing you to track which cards have been played and (theoretically) make better choices as to which card to play when.&#10;&#10;",ニムト、別名カテゴリ5や他の多くの名前では、できるだけ少ないポイントを獲得したいと考えています。<br><br>ゲームをプレイするには、104枚のナンバーカードをシャッフルし、4枚のカードを表向きに並べて4列を開始し、各プレーヤーに10枚のカードを配ります。毎ターン、プレイヤーは自分の手札からカードを同時に選んで公開し、次にそのカードを列に追加します。カードは番号に基づいて昇順で配置されます。具体的には、各カードは、カードの番号の下にある最大の番号で終わる行に配置されます。 6枚目のカードが一列に並べられると、そのカードの所有者は他の5枚のカードを要求し、6枚目のカードが新しい列の最初のカードになります。<br><br>1から104までの数字に加えて、各カードにはポイント値があります。 10ラウンドを終えた後、プレーヤーはスコアを集計し、ゲームが終了するかどうかを確認します。 （たとえば、カテゴリ5は、プレーヤーのスコアが74を超えると終了し、ニムトは誰かが66を超えると終了します。）これが発生すると、ポイントが最も少ないプレーヤーが勝ちます。<br><br>ニムトは2〜10人のプレーヤーで動作し、ゲームプレイのダイナミクスによって、より多くのプレーヤーが変化します。ゲームの1つのバリエーションでは、プレーヤーの数が3、4、5などの場合、（104枚のカードすべてではなく）34枚、44枚、54枚などを使用します。この変更により、どのカードがプレイされているかを知ることができるため、どのカードがプレイされたかを追跡し、（理論的には）どのカードをいつプレイするかについてより適切な選択を行うことができます。<br><br>
68448,世界の七不思議,,"You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes, and affirm your military supremacy. Build your city and erect an architectural wonder which will transcend future times.&#10;&#10;7 Wonders lasts three ages. In each age, players receive seven cards from a particular deck, choose one of those cards, then pass the remainder to an adjacent player. Players reveal their cards simultaneously, paying resources if needed or collecting resources or interacting with other players in various ways. (Players have individual boards with special powers on which to organize their cards, and the boards are double-sided). Each player then chooses another card from the deck they were passed, and the process repeats until players have six cards in play from that age. After three ages, the game ends.&#10;&#10;In essence, 7 Wonders is a card development game. Some cards have immediate effects, while others provide bonuses or upgrades later in the game. Some cards provide discounts on future purchases. Some provide military strength to overpower your neighbors and others give nothing but victory points. Each card is played immediately after being drafted, so you'll know which cards your neighbor is receiving and how her choices might affect what you've already built up. Cards are passed left-right-left over the three ages, so you need to keep an eye on the neighbors in both directions.&#10;&#10;Though the box of earlier editions is listed as being for 3&ndash;7 players, there is an official 2-player variant included in the instructions.&#10;&#10;",あなたは古代世界の7つの大都市の1つのリーダーです。資源を集め、商業ルートを開発し、あなたの軍事的優位性を確認します。あなたの街を建設し、未来の時代を超越する建築の驚異を建てましょう。<br><br>世界の七不思議は3つの年齢が続きます。各年齢で、プレイヤーは特定のデッキから7枚のカードを受け取り、それらのカードの1つを選択し、残りを隣接するプレイヤーに渡します。プレイヤーはカードを同時に公開し、必要に応じてリソースを支払うか、リソースを収集したり、さまざまな方法で他のプレイヤーとやり取りしたりします。 （プレイヤーはカードを整理するための特別な力を持つ個々のボードを持っており、ボードは両面です）。次に、各プレイヤーは渡されたデッキから別のカードを選択し、その年齢から6枚のカードがプレイされるまでこのプロセスが繰り返されます。 3歳になると、ゲームは終了します。<br><br>本質的に、世界の七不思議はカード開発ゲームです。一部のカードはすぐに効果がありますが、他のカードはゲームの後半でボーナスやアップグレードを提供します。一部のカードは、将来の購入に割引を提供します。隣人を圧倒するための軍事力を提供するものもあれば、勝利ポイントしか与えないものもあります。各カードはドラフトされた直後にプレイされるので、あなたはあなたの隣人がどのカードを受け取っているか、そして彼女の選択があなたがすでに構築したものにどのように影響するかを知るでしょう。カードは3つの年齢にわたって左右に渡されるので、両方向の隣人を監視する必要があります。<br><br>以前のエディションのボックスは3&ndash; 7プレーヤー用としてリストされていますが、手順には公式の2プレーヤーバリアントが含まれています。<br><br>
173346,世界の七不思議デュエル,,"In many ways 7 Wonders Duel resembles its parent game 7 Wonders as over three ages players acquire cards that provide resources or advance their military or scientific development in order to develop a civilization and complete wonders.&#10;&#10;What's different about 7 Wonders Duel is that, as the title suggests, the game is solely for two players, with the players not drafting cards simultaneously from hands of cards, but from a display of face-down and face-up cards arranged at the start of a round. A player can take a card only if it's not covered by any others, so timing comes into play as well as bonus moves that allow you to take a second card immediately. As in the original game, each card that you acquire can be built, discarded for coins, or used to construct a wonder.&#10;&#10;Each player starts with four wonder cards, and the construction of a wonder provides its owner with a special ability. Only seven wonders can be built, though, so one player will end up short.&#10;&#10;Players can purchase resources at any time from the bank, or they can gain cards during the game that provide them with resources for future building; as you acquire resources, the cost for those particular resources increases for your opponent, representing your dominance in this area.&#10;&#10;A player can win 7 Wonders Duel in one of three ways: each time you acquire a military card, you advance the military marker toward your opponent's capital, giving you a bonus at certain positions; if you reach the opponent's capital, you win the game immediately; similarly, if you acquire any six of seven different scientific symbols, you achieve scientific dominance and win immediately; if none of these situations occurs, then the player with the most points at the end of the game wins.&#10;&#10;",多くの点で、世界の七不思議デュエルは親ゲームの7 Wondersに似ています。3歳以上のプレイヤーは、文明を発展させ、驚異を完成させるために、リソースを提供したり、軍事的または科学的発展を促進したりするカードを取得します。<br><br>世界の七不思議デュエルの違いは、タイトルが示すように、ゲームは2人のプレイヤーのみを対象としており、プレイヤーはカードの手札から同時にカードをドラフトするのではなく、裏向きと表向きのカードを並べて表示することです。ラウンドの開始時に。プレイヤーは、他の人に覆われていない場合にのみカードを受け取ることができるため、タイミングとボーナスムーブが有効になり、2枚目のカードをすぐに受け取ることができます。オリジナルのゲームと同様に、獲得した各カードは、作成したり、コインとして廃棄したり、不思議を構築するために使用したりできます。<br><br>各プレイヤーは4枚のワンダーカードから始め、ワンダーの構築はその所有者に特別な能力を提供します。ただし、7つの驚異しか構築できないため、1人のプレイヤーが不足することになります。<br><br>プレイヤーはいつでも銀行からリソースを購入できます。または、ゲーム中に将来の構築のためのリソースを提供するカードを獲得することもできます。リソースを獲得すると、それらの特定のリソースのコストが対戦相手にとって増加し、この領域での優位性を表します。<br><br>プレイヤーは次の3つの方法のいずれかで世界の七不思議デュエルを獲得できます。軍カードを取得するたびに、軍マーカーを対戦相手の首都に向けて進め、特定の位置でボーナスを与えます。対戦相手の首都に到達すると、すぐにゲームに勝ちます。同様に、7つの異なる科学記号のうち6つを取得すると、科学的優位性を獲得し、すぐに勝ちます。これらの状況のいずれも発生しない場合は、ゲーム終了時に最も多くのポイントを獲得したプレーヤーが勝ちます。<br><br>
309116,世界の七不思議デュエル：アゴラ,173346,"7 Wonders Duel: Agora features a new board called the Senate, comprising six separate chambers that provide players with benefits once they take possession of the area. Players can obtain a Senate chamber by taking senator cards. Should any player successfully take control of the majority of Senate chambers then they automatically win the game.&#10;&#10;1 Senate board&#10;24 Influence cubes (12 bronze and 12 silver)&#10;13 Senator cards (7 Politicians and 6 Conspirators)&#10;2 Wonder cards&#10;16 Conspiracy cards&#10;16 Decree tokens&#10;2 Progress tokens&#10;4 Military tokens&#10;1 score pad&#10;1 Player Aid card&#10;1 rulebook&#10;&#10;",世界の七不思議デュエル：アゴラは上院と呼ばれる新しいボードを備えており、6つの別々の部屋で構成されており、プレイヤーがエリアを占領すると利益を得ることができます。プレイヤーは上院議員カードを取得することで上院議員室を取得できます。いずれかのプレイヤーが上院議員の過半数を首尾よく支配した場合、彼らは自動的にゲームに勝ちます。<br><br>1上院委員会<br>24個のインフルエンスキューブ（12個のブロンズと12個のシルバー）<br>上院議員カード13枚（7人の政治家と6人の共謀者）<br>ワンダーカード2枚<br>16枚の陰謀カード<br>16ディクリートークン<br>2プログレストークン<br>4軍のトークン<br>1スコアパッド<br>1プレイヤーエイドカード<br>ルールブック1冊<br><br>
