game_id,name_jp,description_en,description_jp
7866,10 DAYS IN THE USA,"You have 10 Days in the USA. Travel the country by jet, car, and on foot. Plan your trip from start to finish using destination and transportation tiles. With a little luck and clever planning, you just might outwit your fellow travelers.&#10;&#10;This is the first installment in the 10 Days in series.&#10;                       &#10;There are 50 state tiles, 10 colored airplane tiles, and 6 car tiles. Players all flip tiles one at a time, examine them, and put them in the 10 &quot;days&quot; of their tile tray, in any order. Then in turn, they draw a tile from one of three face-up piles or a face-down pile. The new tile may replace one tile in their tray, with that tile (or the unused drawn tile) discarded onto any of the face-up piles. Alternatively, players may swap any two tiles in their tray. When a player has all their days connected correctly, they win the game.&#10;&#10;Travel Connections:&#10;By Foot - bordering state tiles may be placed side-by-side&#10;By Automobile - states may be connected by driving through a third state which borders them both (the car tile is put between them)&#10;By Air - Two states of the same color may be connected by a same-color airplane placed between them&quot;&#10;&#10;",
217335,ラミー111,"The description of gameplay in 111 Ants &mdash; first released as MyRummy 111 &mdash; requires only one sentence: Take a hand of unsorted cards, draw either a face-down or face-up card on your turn and put it in the right place, then place another card to the left or right of it. Your goal is to be the first to sort your cards in ascending or descending order, which is both easy and challenging since the cards have different qualities. Unfortunately, valuable cards rarely sit in the right place...&#10;&#10;",
170430,クリスマスの12日,"12 Days of Christmas is a card game designed by Dr. Gord Hamilton for 3-8 players.&#10;&#10;To play, deal out twelve cards to each player; the deck consists of 78 cards: one 1, two 2s, and so on up to twelve 12s. By following the lead established by the first player, each player attempts to give away all of her cards before the other players can. The first player can lead a single card, a set of at least two cards of the same value, or a straight of at least two cards. The next players either pass or play a similar combination of cards (although not necessarily the same number of cards) that includes at least one card that's as low or lower than the lead player's low card. Whoever has played the lowest card once everyone has passed becomes the new lead player.&#10;&#10;Whoever runs out of cards first claims one of the available gift cards; whoever has the most cards left in hand must give a gift card to this round's winner! Whoever has the most gifts when the gifts run out wins.&#10;&#10;",
257955,,"In 3x8, each player tries to create three rows of cards with eight cards in each row. Take turns going clockwise, playing cards from your hands &mdash; ideally more than one at a time. Move cards into different rows, make life difficult for the other players with your blocker cards, and increase the number of cards in your hands to offer up more opportunities later. The first player to create their third complete row wins!&#10;&#10;",
207830,５ミニッツダンジョン,"5-&shy;Minute Dungeon is a chaotic, co-&shy;operative, real-&shy;time card game in which players have only five minutes to escape the randomized dungeon. Communication and teamwork are critical to survival because there's no time to form a carefully considered plan &mdash; and no predicting what dangers lie ahead.&#10;&#10;In more detail, players assume the role of one of ten heroes, each with special cards and abilities. Once the five-minute timer starts, the race is on to defeat all the monsters inside the dungeon. In order to defeat a monster, players must match symbols from their hand with ones on the monster's card. At the end of each dungeon is a powerful dungeon boss &mdash; and after the first boss is defeated, the campaign continues to the second boss. Each boss, and each randomized dungeon, gets harder until players reach the fifth and final boss.&#10;&#10;",
271512,,"5211 is a fast-playing card game with a unique scoring method that rewards clever play!&#10;&#10;This game has cards 1-6 in five colors. Each player starts with a hand of five cards. Players play two cards face-down, then simultaneously reveal them. They refill their hand, then repeat this process two more times, but only with one card.&#10;&#10;The cards of the majority color will score &mdash; unless too many are present, in which case the color busts and the second most color scores. In case of a tie for majority, the tied colors are also out. These rounds are repeated until the deck runs out. The player with the most points wins.&#10;&#10;5211 is a new edition of 5 COLORS that has all new art.&#10;&#10;",
432,ニムト,"In 6 nimmt!, a.k.a. Category 5 and many other names, you want to score as few points as possible.&#10;&#10;To play the game, you shuffle the 104 number cards, lay out four cards face-up to start the four rows, then deal ten cards to each player. Each turn, players simultaneously choose and reveal a card from their hand, then add the cards to the rows, with cards being placed in ascending order based on their number; specifically, each card is placed in the row that ends with the highest number that's below the card's number. When the sixth card is placed in a row, the owner of that card claims the other five cards and the sixth card becomes the first card in a new row.&#10;&#10;In addition to a number from 1 to 104, each card has a point value. After finishing ten rounds, players tally their score and see whether the game ends. (Category 5 ends when a player has a score greater than 74, for example, while 6 nimmt! ends when someone tops 66.) When this happens, the player with the fewest points wins!&#10;&#10;6 nimmt! works with 2-10 players, and the dynamics of gameplay change the more players that you have. One variant for the game has you use 34 cards, 44 cards, 54 cards, etc. (instead of all 104 cards) when you have three, four, five, etc. number of players. This change allows you to know which cards are in play, thereby allowing you to track which cards have been played and (theoretically) make better choices as to which card to play when.&#10;&#10;",
68448,世界の七不思議,"You are the leader of one of the 7 great cities of the Ancient World. Gather resources, develop commercial routes, and affirm your military supremacy. Build your city and erect an architectural wonder which will transcend future times.&#10;&#10;7 Wonders lasts three ages. In each age, players receive seven cards from a particular deck, choose one of those cards, then pass the remainder to an adjacent player. Players reveal their cards simultaneously, paying resources if needed or collecting resources or interacting with other players in various ways. (Players have individual boards with special powers on which to organize their cards, and the boards are double-sided). Each player then chooses another card from the deck they were passed, and the process repeats until players have six cards in play from that age. After three ages, the game ends.&#10;&#10;In essence, 7 Wonders is a card development game. Some cards have immediate effects, while others provide bonuses or upgrades later in the game. Some cards provide discounts on future purchases. Some provide military strength to overpower your neighbors and others give nothing but victory points. Each card is played immediately after being drafted, so you'll know which cards your neighbor is receiving and how her choices might affect what you've already built up. Cards are passed left-right-left over the three ages, so you need to keep an eye on the neighbors in both directions.&#10;&#10;Though the box of earlier editions is listed as being for 3&ndash;7 players, there is an official 2-player variant included in the instructions.&#10;&#10;",
173346,世界の七不思議デュエル,"In many ways 7 Wonders Duel resembles its parent game 7 Wonders as over three ages players acquire cards that provide resources or advance their military or scientific development in order to develop a civilization and complete wonders.&#10;&#10;What's different about 7 Wonders Duel is that, as the title suggests, the game is solely for two players, with the players not drafting cards simultaneously from hands of cards, but from a display of face-down and face-up cards arranged at the start of a round. A player can take a card only if it's not covered by any others, so timing comes into play as well as bonus moves that allow you to take a second card immediately. As in the original game, each card that you acquire can be built, discarded for coins, or used to construct a wonder.&#10;&#10;Each player starts with four wonder cards, and the construction of a wonder provides its owner with a special ability. Only seven wonders can be built, though, so one player will end up short.&#10;&#10;Players can purchase resources at any time from the bank, or they can gain cards during the game that provide them with resources for future building; as you acquire resources, the cost for those particular resources increases for your opponent, representing your dominance in this area.&#10;&#10;A player can win 7 Wonders Duel in one of three ways: each time you acquire a military card, you advance the military marker toward your opponent's capital, giving you a bonus at certain positions; if you reach the opponent's capital, you win the game immediately; similarly, if you acquire any six of seven different scientific symbols, you achieve scientific dominance and win immediately; if none of these situations occurs, then the player with the most points at the end of the game wins.&#10;&#10;",
309116,世界の七不思議デュエル：アゴラ,"7 Wonders Duel: Agora features a new board called the Senate, comprising six separate chambers that provide players with benefits once they take possession of the area. Players can obtain a Senate chamber by taking senator cards. Should any player successfully take control of the majority of Senate chambers then they automatically win the game.&#10;&#10;1 Senate board&#10;24 Influence cubes (12 bronze and 12 silver)&#10;13 Senator cards (7 Politicians and 6 Conspirators)&#10;2 Wonder cards&#10;16 Conspiracy cards&#10;16 Decree tokens&#10;2 Progress tokens&#10;4 Military tokens&#10;1 score pad&#10;1 Player Aid card&#10;1 rulebook&#10;&#10;",
